date	power	latitude	longitude
04.4.2 12:04	2.9	39.4 N	126.0 E
04.3.7 20:58	2.9	35.8 N	125.4 E
04.2.26 5:51	2.1	37.2 N	128.9 E
04.2.6 7:30	2.4	38.6 N	126.1 E
04.1.29 20:22	2.4	35.9 N	128.5 E
04.1.23 5:27	2	35.4 N	128.0 E
04.1.17 9:47	2.9	33.7 N	125.8 E
04.1.6 1:49	3.2	38.7 N	125.1 E
04.1.5 6:11	2.9	36.2 N	127.0 E
03.10.17 11:55	2	35.8 N	129.4 E
03.10.14 1:44	2.4	34.1 N	127.5 E
03.10.13 18:12	3.6	37.0 N	126.5 E
03.10.5 5:03	2.1	36.3 N	127.3 E
03.10.4 4:59	2.3	33.2 N	126.9 E
03.9.25 15:24	2.5	36.0 N	129.6 E
03.9.24 3:26	2.3	35.8 N	128.5 E
03.9.19 20:48	2.9	37.5 N	124.5 E
03.8.12 1:25	2.6	34.7 N	130.3 E
03.8.7 11:04	2.7	36.8 N	129.5 E
03.7.28 6:12	2.7	35.1 N	124.7 E
03.7.18 17:05	2.9	35.0 N	124.3 E
03.7.9 15:20	2.7	34.9 N	128.2 E
03.7.5 12:18	3	37.4 N	125.3 E
03.6.29 11:53	2.1	35.7 N	124.8 E
03.6.9 10:14	4	36.0 N	123.6 E
03.6.8 2:07	2.6	36.5 N	125.1 E
03.6.4 3:34	2.7	35.2 N	125.2 E
03.4.16 2:55	3.3	36.4 N	126.3 E
03.4.5 0:56	2.4	36.2 N	127.3 E
03.4.5 0:31	2.9	36.2 N	127.3 E
03.4.5 0:25	2.5	36.2 N	127.3 E
03.4.1 22:26	2.1	36.4 N	127.8 E
03.3.30 20:10	5	37.8 N	123.7 E
03.3.23 5:38	4.9	35.0 N	124.6 E
03.3.19 23:05	2.3	36.5 N	129.6 E
03.3.14 4:06	2.1	36.2 N	128.7 E
03.3.10 3:28	3.1	36.1 N	128.4 E
03.3.4 12:44	2.9	38.3 N	128.6 E
03.3.1 23:33	3	35.8 N	129.3 E
03.3.1 21:07	2.5	37.6 N	124.6 E
03.2.14 16:42	2.9	38.0 N	124.5 E
03.2.9 22:28	2.3	36.0 N	127.9 E
03.2.8 23:46	2.9	35.3 N	126.6 E
03.1.16 14:02	2.2	33.6 N	127.3 E
03.1.13 22:03	2.8	35.8 N	129.4 E
03.1.10 0:56	2.7	35.9 N	129.2 E
03.1.9 17:33	3.9	37.4 N	124.2 E
02.12.26 23:41	2.7	36.5 N	127.0 E
02.12.17 8:44	2.1	37.1 N	126.4 E
02.12.16 18:21	2.4	36.7 N	130.2 E
02.12.12 21:42	2.3	37.1 N	126.4 E
02.12.10 7:42	3.8	38.8 N	127.2 E
02.12.7 16:43	2.7	37.4 N	129.4 E
02.12.5 11:01	2.1	36.7 N	126.2 E
02.12.5 10:05	2	36.7 N	126.3 E
02.11.13 21:46	2.4	35.8 N	127.9 E
02.11.6 21:48	2.5	36.4 N	127.7 E
02.10.28 11:50	2.8	35.1 N	126.6 E
02.10.25 4:06	2.4	33.9 N	127.1 E
02.10.23 10:30	2.8	34.9 N	128.4 E
02.10.20 4:22	3	35.2 N	127.7 E
02.10.19 21:31	2.7	36.2 N	127.6 E
02.10.16 19:48	2.4	36.6 N	127.6 E
